Game,name,release,categories,genres,tags,playtime
576470,ANIMALITY,2017,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Adventure;Casual;Indie;Early Access,Early Access;Casual;Indie,217
576480,Drunken Fight Simulator,2017,Single-player;Shared/Split Screen,Action;Indie;Early Access,Early Access;Action;Indie,0
576500,Evergarden,2018,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Adventure;Indie,Indie;Adventure;Puzzle,0
576540,Brother Wings,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards;Steam Turn Notifications,Action;Casual;Indie,Casual;Action;Indie,196
576560,Pain Train,2017,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Casual;Indie;Strategy,Action;Indie;Gore,289
576590,Puzzle Wishes,2017,Single-player;Steam Trading Cards,Nudity;Casual;Simulation,Nudity;Casual;Simulation,0
576620,The Puzzle Room VR ( Escape The Room ),2017,Single-player,Action;Adventure;Indie;Simulation,Indie;Simulation;Action,0
576650,Fovos VR,2019,Single-player,Action;Free to Play,Free to Play;Action;Horror,0
576660,Snake Party,2017,Local Multi-Player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Racing,Indie;Racing,226
576670,Sky Is Arrows,2018,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Adventure;Indie;Strategy,Strategy;Adventure;Indie,0
576700,Hollow Halls,2017,Single-player,Indie,Indie,0
576720,"Light and Dance VR - Music, Action, Relaxation",2017,Single-player,Simulation;Sports,Simulation;Sports;VR,0
576730,Spirit of Maya,2017,Single-player;Steam Trading Cards,Action;Indie,Action;Indie,559
576740,FootRock 2,2017,Single-player;Partial Controller Support,Action;Indie;Sports,Action;Indie;Sports,222
576750,Ropes And Dragons VR,2017,Single-player;Steam Achievements,Action;Adventure;Indie,Indie;Action;Adventure,213
576770,Low Magic Age,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Adventure;Casual;Indie;RPG;Strategy;Early Access,Early Access;RPG;Strategy,131
576800,Final Bravely,2017,Single-player;Full controller support;Steam Trading Cards,Action;Adventure;Indie;RPG,Action;Adventure;RPG,0
576810,2 Ninjas 1 Cup,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Action;Indie;Platformer,0
576820,Colourise,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie,Indie;Casual;VR,0
576840,RAYGUN COMMANDO VR,2017,Single-player;Steam Achievements,Casual;Free to Play;Indie,Free to Play;Indie;Casual,0
576860,Summer Nightmare,2017,Single-player;Steam Achievements,Gore;Adventure;Casual;Free to Play;Indie,Free to Play;Anime;Horror,0
